line_number,company_name,address,phone,site,altSite,query_string
188,Cooperativa Latte Indenne Di Verona,"2 Strada Cadermanetto, Trevenzuolo, VR 37060, Італія",+39 045 735 0025,,,SOCIETA' AGRICOLA COOPERATIVA LATTE INDENNE DI VERONA
189,Tutto Galvan,"Via del Lupo, 9, 37050 Ca' degli Oppi VR, Італія",+39 045 713 0890,http://www.tuttogalvan.it/,,TUTTO GALVAN S.R.L.
190,B.F.G. Rappresentanze Industriali,"Via Pesciatina, 899/d, 55010 Capannori LU, Італія",+39 0583 975878,http://www.bfgsrl.it/,,B.F.G. S.R.L.
191,,,,,,BARONI -S.R.L.
192,Svevi S.r.l.,"Via del Moriglione, 10, 56019 Migliarino PI, Італія",+39 050 804683,http://www.svevi.com/,,SVEVI S.R.L.
193,Prolat Srl,"Via Dante Alighieri, 21, 80029 Sant'Antimo NA, Італія",+39 081 505 1585,http://www.prolatsrl.com/,,PROLAT S.R.L.
194,,,,,,F.LLI MAFFI SNC DI MAFFI NERIO & C.
195,Tutto Bonta Srl,"Via Pescopagano, 4, 33078 San Vito al Tagliamento PN, Італія",+39 0434 85375,http://www.tuttobonta.it/contatti,,TUTTO BONTA' S.R.L.
196,,,,,,MULINO ALIMENTARE - S.P.A.
197,,,,,,UNIMILK S.R.L.
198,Di.na.lat. (S.r.l.),"Strada Provinciale per Pianura, 47, 80078 Pozzuoli NA, Італія",+39 081 526 9667,,,DI.NA.LAT. DISTRIBUZIONE NAPOLETANA LATTE S.R.L.
199,Dede' Alberto,"Piazzale Pietro Zaninelli, 1, 26900 Lodi LO, Італія",+39 0371 51106,,,DEDE' ALBERTO E C.
200,Gmc S.A.S. Di Colombo Gianpaolo & C.,"Via Laguccio, 14, 22035 Canzo CO, Італія",+39 031 672086,,,GMC S.A.S. DI COLOMBO GIANPAOLO & C.
201,,,,,,INDUSTRIA CASEARIA MONTE SOMMA S.R.L.
202,Via Lattea S.R.L.,"Via Alessandro Manzoni, 24, 34073 Grado GO, Італія",+39 0431 81651,http://www.vialatteagrado.it/,,VIA LATTEA S.R.L.
203,Scot Coopérative de la Cigogne,"19 Rue du Ried, 67720 Weyersheim, Франція",+33 3 88 68 15 12,,,SCOT LA CIGOGNE
204,,,,,,CASEARIA GM S.R.L.
205,Caseificio Andriese Bonta' Genuina S.R.L.,"Via Andria, 131, 76121 Barletta BT, Італія",+39 0883 347653,http://www.caseificioperina.it/,,CASEIFICIO ANDRIESE - BONTA' GENUINA S.R.L.
206,,,,,,D.S.L. S.R.L.
207,Sapori del Sole S.r.l.,"Via Nazionale, 84012 Angri SA, Італія",+39 081 1809 8514,,,SAPORI DEL SOLE S.R.L.
208,Mario Cavalli Formaggi Srl,"Via Roma, 106/C, 95020 Aci Bonaccorsi CT, Італія",+39 095 789 0595,http://www.cavalliformaggi.it/,,MARIO CAVALLI FORMAGGI S.R.L.
209,,,,,,COSPALAT DEL FRIULI VENEZIA GIULIA
210,Di.ve.pr.al. srl,"Via Tiburtina, 912, 00156 Roma RM, Італія",+39 06 407 3721,,,DI.VE.PR.AL.   S.R.L.
211,,,,,,IPERMES S.R.L.
212,Latteria Nöm S.r.l.,"Via Esperanto, 3, 39100 Bolzano BZ, Італія",,https://www.my-milk.it/,,LATTERIA NOEM SRL
213,So.di.ge.al. S.r.l.,"Via Caselle, 33, 46030 Caselle MN, Італія",+39 0376 245100,http://sodigeal-srl.business.site/,,SO.DI.GE.AL. S.R.L.
214,Risparmio Casa,"Str. Tiberina Nord, 71, 06134 Perugia PG, Італія",+39 075 591 3272,http://www.risparmiocasa.com/,,RISPARMIO CASA UMBRIA - S.R.L.
215,Casearia Arnoldi Valtaleggio Ltd. (Casearia Arnoldi Valtaleggio srl),"Via Piazze, 156, 24010 Peghera BG, Італія",+39 0345 47550,http://www.arnoldivaltaleggio.it/presentazione/,,CASEARIA ARNOLDI VALTALEGGIO S.R.L.
216,Carioni Food & Health srl,"Via Giovanni Amendola, 2, 25086 Rezzato BS, Італія",+39 030 615 1721,http://www.natus.life/,,CARIONI FOOD & HEALTH SRL
217,,,,,,"LD DISTRIBUTION, PAF"
218,G B E di Pucci Fabrizio e C. Sas,"Via Vecchia Camporcioni, 64, 51019 Ponte Buggianese PT, Італія",+39 0572 636739,,,G B E  DI PUCCI FABRIZIO E C. S.A.S.
219,Assiter Srl,"Via di Boccea, 1270, 00166 Roma RM, Італія",+39 06 6159 7507,https://assiter.it/contatti/,,ASSITER S.R.L.
220,Caseificio di Ferrarini Silvestro & C. Snc,"Via Solari, 77, 43022 Tortiano PR, Італія",+39 0521 686455,https://www.ferrariniebonetti.com/,,FERRARINI E BONETTI -
221,Castellatte,"Regione Doria, 15122 Castelceriolo AL, Італія",+39 0131 585538,http://castellattealessandria.myadj.it/v/castellattealessandria,,CASTELLATTE S.R.L.
222,Caseificio Amodio Srl,"Piazza Marinai D'Italia, 17, 70042 Mola di Bari BA, Італія",+39 080 473 3387,https://caseificioamodio.company.site/,,CASEIFICIO AMODIO - S.R.L.
223,Valle Dei Trulli S.R.L. - Centro Raccolta Latte,"Contrada Figazzano, 145, 72014 Cisternino BR, Італія",+39 080 431 7620,,,VALLE DEI TRULLI  S.R.L. - CENTRO RACCOLTA LATTE
224,ValVerde s.r.l.,"Contrada Calcarone, 98042 Pace del Mela ME, Італія",+39 090 931737,http://valverdesrl.com/,,VALVERDE SRL
225,,,,,,ITALIA MILK S.R.L.
226,Caseificio Marion Srl,"Via Circonvallazione Est, 80, 31033 Castelfranco Veneto TV, Італія",+39 0423 401361,https://www.caseificiomarion.it/,,CASEIFICIO MARION S.R.L.
227,,,,,,CASEARIA PODDA S.R.L.
228,New Milk Srl,"Via del Grande Archivio, 32, 80138 Napoli NA, Італія",+39 081 572 7201,,,NEW MILK S.R.L.
229,Futural Srl,"Via Giacomo Puccini, 5, 70017 Putignano BA, Італія",+39 080 493 4792,,,FUTURAL S.R.L.
230,,,,,,ALICAM S.R.L.
231,Centrale Laitiere Vallee D'Aoste S.R.L.,"Frazione La Cure De Chevrot, 11, 11020 Gressan AO, Італія",+39 010 6432 0078,http://www.centralelatte.vda.it/,,CENTRALE LAITIERE VALLEE D'AOSTE - S.R.L.
232,Caseificio F.lli Bari SRL,"80050 Lettere, Metropolitan City of Naples, Італія",+39 081 802 1313,,,CASEIFICIO F.LLI BARI S.R.L.
233,Bo.Par. Food Srl,"Via Po, 2, 00040 Marina di Ardea RM, Італія",+39 06 9101 8148,,,BO.PAR. FOOD. S.R.L.
234,Fadda Srl,"Regione Possilva, Thiesi, SS 07047, Італія",+39 079 886185,http://www.faddasrl.it/,,FADDA SRL
235,Caseificio Prealpino Srl,"Via Vittorio Veneto, 1, 21030 Rancio Valcuvia VA, Італія",,,,CASEIFICIO PREALPINO SRL
236,,,,,,LSVLOT (Ets C.B.S.)
237,Caseificio Zucchelli S.r.l.,"Cascina Marmorina, 18, 26863 Orio Litta LO, Італія",+39 0377 804115,https://www.caseificiozucchelli.com/,,CASEIFICIO ZUCCHELLI ANTONIO DI ZUCCHELLI CARMELITA & C. S.N.C.
238,Caseificio Villa Srl,"Via Iseo, 52, 25030 Villa Pedergnano BS, Італія",+39 030 772 2090,https://caseificiovilla.key5.com/,,CASEIFICIO VILLA S.R.L.
239,Guillot Jouani (SA),"35 Rue Henri Farman, 93290 Tremblay-en-France, Франція",+33 1 49 63 76 20,,,SOCIETE GUILLOT JOUANI (Guillot Jouani)
240,Procacci,"Via Prato del Portone, 40, 01020 Monterosi VT, Італія",+39 0761 699033,http://www.procaccisrl.it/,,PROCACCI S.R.L.
241,Midi - Pyrénées Distribution,"Sandrail, 81150 Marssac-sur-Tarn, Франція",,,,MIDI PYRENEES DISTRIBUTION (Vidal SAS)
242,,,,,,INDUSTRIA CASEARIA PARTENOPEA MANDARA S.R.L.
243,Agroalimentare Riccio S.R.L.,"Via Brecciale, 83030 Greci AV, Італія",+39 0825 867136,,,AGROALIMENTARE RICCIO S.R.L.
244,Plurifinance Srl,"Via delle Cascine Doppie, 1, 20065 Villaggio Residenziale MI, Італія",,,,PLURIFINANCE S.R.L.
245,Consorzio Gourm.it,"Viale S. Lorenzo, 40, 46020 Pegognaga MN, Італія",+39 0376 559539,http://gourm.it/,,CONSORZIO GOURM.IT
246,,,,,,G & D S.R.L.
247,Etablissements Pierre Lafargue,"Chem. de Burges, 31210 Ausson, Франція",+33 5 61 95 80 94,http://lafargue-carigel.fr/,,ETABLISSEMENTS PIERRE LAFARGUE (Pierre Lafargue SA)
248,Caseificio Lauretti (Derilat srl),"Via Migliara 54, 1 dx, 04014 Pontinia LT, Італія",+39 0773 852204,,,DERILAT S.R.L.
249,,,,,,ETABLISSEMENTS GREMONT (Etablissements Gremont S.A.R.L.)
250,Caseificio Conti S.R.L.,"Contrada S.antonino, 90030 Palazzo Adriano PA, Італія",+39 091 834 8852,http://www.caseificioconti.com/,,CASEIFICIO CONTI S.R.L.
251,,,,,,EREDI GIUSEPPE PASTORE S.N.C. DI PASTORE LUCIA & C. IN LIQUIDAZIO NE
252,La Casearia Di Bertinotti Michele E C. (S.A.S.),"Bivio Strada Provinciale 20 s.n.c, 12030 Cavallermaggiore CN, Італія",+39 0172 381581,,,LA CASEARIA DI BERTINOTTI MICHELE E C. - S.A.S.
253,Bia 2 S.r.l.,"zona industriale, 31, 52010 Castelluccio AR, Італія",+39 0575 451241,https://www.facebook.com/Bia2Srl/,,BIA 2 S.R.L.
254,Fratelli Giugliano S.R.L.,"Via Interporto Campano Lotto D, 509, 80035 Nola NA, Італія",+39 081 821 0828,http://fratelligiugliano.it/,,FRATELLI GIUGLIANO S.R.L.
255,,,,,,FIOR DE' ROMA
256,Latteria Bronzone Caseificio e spaccio di vendita,"Via Seradina, 27, 24060 Vigolo BG, Італія",+39 035 932791,http://www.montielaghi.it/,,MONTI E LAGHI NUOVA SOCIETA' COOPERATIVA AGRICOLA
257,Caseificio Passalacqua - Tuma Persa,"contrada baronaggio, 90030 Castronovo di Sicilia PA, Італія",+39 335 700 1633,http://tumapersa-shop.com/,,CASEIFICIO PASSALACQUA & C. S.R.L.
258,Auricchio,,,,,GENNARO AURICCHIO S.P.A.
259,Agatos Energia Srl,,,,,AGATOS S.R.L.
260,Latteria Sociale Cooperativa (A.R.L.),"Viale Azuni, 80, 09075 Santu Lussurgiu OR, Італія",+39 0783 550555,,,LATTERIA SOCIALE COOPERATIVA DI S. LUSSURGIU - SOCIETA' AGRICOLA
261,,,,,https://www.di-al.it/,DI-AL S.R.L.
262,Ginos Srl,"3 Localita' Campagnole 38060, Borghetto TN, Італія",+39 0464 682012,http://www.ginos.it/it/home,,GINOS S.R.L.
263,Анджело Бадаламенті,,,,,BADALAMENTI
264,MANZI S.r.l.,"km 94.100, Via Cassia, Nord, 01027 Montefiascone VT, Італія",+39 0761 827185,http://www.manzi.it/,,MANZI S.R.L
265,Latte & co srl.,"Via Lombardia, 31, 80021 Afragola NA, Італія",+39 081 860 1036,http://latte.co.it/,,LATTE & CO. S.R.L.
